X: 58.068848, Y: -50.363159, Z: -35.914612, Timestamp: 3984.653467
X: 43.922424, Y: -30.996704, Z: -19.526672, Timestamp: 3984.679335
X: 55.177307, Y: -43.684387, Z: 37.829590, Timestamp: 3984.705179
X: 48.835754, Y: -62.435913, Z: 12.648010, Timestamp: 3984.731116
X: 40.292358, Y: -56.922913, Z: 15.821838, Timestamp: 3984.756985
X: 63.023376, Y: -40.617371, Z: 42.381287, Timestamp: 3984.782897
X: 60.229492, Y: -57.781982, Z: 54.658508, Timestamp: 3984.808764
X: 47.442627, Y: -46.049500, Z: 53.208923, Timestamp: 3984.834629
X: 42.085266, Y: -26.837158, Z: 72.590637, Timestamp: 3984.860539
X: 47.798157, Y: -28.027344, Z: 75.965881, Timestamp: 3984.886409
X: 55.262756, Y: -26.228333, Z: 79.229736, Timestamp: 3984.912318
X: 56.491089, Y: -38.014221, Z: 66.549683, Timestamp: 3984.938184
X: 61.874390, Y: -46.203613, Z: 70.690918, Timestamp: 3984.964051
X: 58.357239, Y: -36.518860, Z: 82.041931, Timestamp: 3984.989964
X: 52.960205, Y: -48.313904, Z: 73.625183, Timestamp: 3985.015832
X: 51.596069, Y: -48.449707, Z: 69.827271, Timestamp: 3985.041746
X: 45.585632, Y: -47.113037, Z: 65.650940, Timestamp: 3985.067614
X: 48.696899, Y: -34.234619, Z: 93.363953, Timestamp: 3985.093481
X: 47.758484, Y: -51.127625, Z: 88.026428, Timestamp: 3985.119393
X: 49.700928, Y: -67.733765, Z: 66.232300, Timestamp: 3985.145249
X: 49.105835, Y: -71.224976, Z: 54.797363, Timestamp: 3985.171173
X: 24.761963, Y: -64.530945, Z: 55.099487, Timestamp: 3985.197023
X: 12.068176, Y: -66.859436, Z: 59.338379, Timestamp: 3985.222907
X: 5.683899, Y: -79.225159, Z: 54.154968, Timestamp: 3985.248815
X: -6.121826, Y: -83.900452, Z: 41.734314, Timestamp: 3985.274681
X: -7.792664, Y: -83.650208, Z: 13.841248, Timestamp: 3985.300595
X: -24.472046, Y: -108.157349, Z: 4.272461, Timestamp: 3985.326463
X: -21.859741, Y: -81.672668, Z: 27.677917, Timestamp: 3985.352330
X: -23.611450, Y: -96.598816, Z: 22.116089, Timestamp: 3985.378243
X: -34.027100, Y: -79.406738, Z: -22.328186, Timestamp: 3985.404112
X: -61.364746, Y: -62.721252, Z: -11.546326, Timestamp: 3985.430027
X: -75.386047, Y: -42.073059, Z: -0.099182, Timestamp: 3985.455899
X: -86.149597, Y: -54.634094, Z: 27.983093, Timestamp: 3985.481767
X: -75.685120, Y: -48.414612, Z: 21.669006, Timestamp: 3985.507678
X: -101.312256, Y: -35.391235, Z: 0.090027, Timestamp: 3985.533543
X: -115.800476, Y: -16.217041, Z: 3.543091, Timestamp: 3985.559456
X: -82.374573, Y: -27.651978, Z: 25.947571, Timestamp: 3985.585323
X: -64.712524, Y: -40.223694, Z: 5.799866, Timestamp: 3985.611189
X: -63.063049, Y: -20.236206, Z: -19.807434, Timestamp: 3985.637101
X: -86.717224, Y: -31.649780, Z: -61.489868, Timestamp: 3985.662970
X: -85.548401, Y: -21.449280, Z: -87.333679, Timestamp: 3985.688885
X: -50.083923, Y: 10.087585, Z: -74.365234, Timestamp: 3985.714752
X: -31.871033, Y: 1.268005, Z: -49.002075, Timestamp: 3985.740621
X: -30.897522, Y: -21.003723, Z: -127.397156, Timestamp: 3985.766531
X: -37.699890, Y: 2.397156, Z: -150.154114, Timestamp: 3985.792401
X: -18.161011, Y: 27.793884, Z: -87.437439, Timestamp: 3985.818311
X: 9.527588, Y: 5.288696, Z: -77.545166, Timestamp: 3985.844179
X: 18.367004, Y: 6.388855, Z: -119.282532, Timestamp: 3985.870050
X: 29.830933, Y: 22.726440, Z: -101.736450, Timestamp: 3985.895961
X: 49.913025, Y: 27.429199, Z: -80.929565, Timestamp: 3985.921828
X: 63.725281, Y: 24.145508, Z: -82.844543, Timestamp: 3985.947742
X: 70.063782, Y: 40.440369, Z: -91.966248, Timestamp: 3985.973612
X: 85.990906, Y: 26.463318, Z: -111.242676, Timestamp: 3985.999481
X: 100.488281, Y: 21.542358, Z: -98.767090, Timestamp: 3986.025396
X: 93.351746, Y: 38.880920, Z: -53.132629, Timestamp: 3986.051262
X: 87.829590, Y: 42.140198, Z: -46.064758, Timestamp: 3986.077177
X: 93.293762, Y: 43.931580, Z: -28.247070, Timestamp: 3986.103048
X: 71.859741, Y: 48.480225, Z: -42.512512, Timestamp: 3986.128917
X: 95.272827, Y: 37.677002, Z: -11.547852, Timestamp: 3986.154828
X: 109.625244, Y: 31.307983, Z: -13.880920, Timestamp: 3986.180694
X: 108.723450, Y: 26.150513, Z: -24.728394, Timestamp: 3986.206603
X: 91.917419, Y: 32.763672, Z: -6.030273, Timestamp: 3986.232472
X: 74.780273, Y: 40.837097, Z: 8.680725, Timestamp: 3986.258342
X: 82.624817, Y: 46.301270, Z: 19.458008, Timestamp: 3986.284253
X: 95.349121, Y: 33.401489, Z: 29.283142, Timestamp: 3986.310123
X: 103.999329, Y: 17.698669, Z: -0.505066, Timestamp: 3986.336034
X: 70.812988, Y: 65.840149, Z: -23.684692, Timestamp: 3986.361905
X: 125.091553, Y: 42.016602, Z: 33.297729, Timestamp: 3986.387772
X: 89.205933, Y: 61.578369, Z: 15.715027, Timestamp: 3986.413687
X: 99.754333, Y: 65.870667, Z: 3.735352, Timestamp: 3986.439557
X: 85.089111, Y: 52.117920, Z: 23.825073, Timestamp: 3986.465470
X: 126.155090, Y: 8.813477, Z: 32.960510, Timestamp: 3986.491340
X: 124.763489, Y: 60.662842, Z: -32.328796, Timestamp: 3986.517207
X: 41.314697, Y: 19.172668, Z: 71.995544, Timestamp: 3986.543119
X: 58.601379, Y: 30.979919, Z: 92.575073, Timestamp: 3986.568986
X: 71.203613, Y: 7.762146, Z: 61.296082, Timestamp: 3986.594899
X: 74.011230, Y: -2.142334, Z: 46.891785, Timestamp: 3986.620741
X: 44.818115, Y: 11.692810, Z: 68.078613, Timestamp: 3986.646640
X: 57.160950, Y: -1.354980, Z: 105.448914, Timestamp: 3986.672555
X: 58.837891, Y: -20.106506, Z: 84.277344, Timestamp: 3986.698425
X: 60.794067, Y: -9.893799, Z: 90.962219, Timestamp: 3986.724339
X: 49.435425, Y: 1.684570, Z: 97.561646, Timestamp: 3986.750207
X: 46.594238, Y: -8.473206, Z: 105.415344, Timestamp: 3986.776077
X: 49.633789, Y: -9.664917, Z: 114.819336, Timestamp: 3986.801992
X: 56.921387, Y: -28.079224, Z: 106.835938, Timestamp: 3986.827859
X: 20.326233, Y: -4.946899, Z: 66.127014, Timestamp: 3986.853772
X: -28.028870, Y: -1.141357, Z: 64.535522, Timestamp: 3986.879637
X: -40.106201, Y: -36.224365, Z: 50.660706, Timestamp: 3986.905506
X: -31.805420, Y: -63.681030, Z: -11.312866, Timestamp: 3986.931420
X: -24.264526, Y: -55.960083, Z: -31.222534, Timestamp: 3986.957289
X: -46.443176, Y: -19.943237, Z: -10.740662, Timestamp: 3986.983202
X: -79.234314, Y: -30.747986, Z: -34.100342, Timestamp: 3987.009072
X: -84.513855, Y: 4.663086, Z: -9.117126, Timestamp: 3987.034943
X: -77.745056, Y: 8.193970, Z: -48.934937, Timestamp: 3987.060853
X: -65.934753, Y: -12.138367, Z: -64.465332, Timestamp: 3987.086724
X: -81.585693, Y: 5.950928, Z: -64.552307, Timestamp: 3987.112636
X: -56.524658, Y: 35.278320, Z: -60.034180, Timestamp: 3987.138510
X: -52.049255, Y: 23.670959, Z: -123.077393, Timestamp: 3987.164377
X: -27.023315, Y: -11.053467, Z: -165.570068, Timestamp: 3987.190291
X: -25.868225, Y: 14.868164, Z: -100.233459, Timestamp: 3987.216161
X: -3.056335, Y: 21.279907, Z: -84.342957, Timestamp: 3987.242064
X: 5.450439, Y: 28.805542, Z: -92.744446, Timestamp: 3987.267947
X: 3.356934, Y: 43.891907, Z: -142.282104, Timestamp: 3987.293817
X: 31.198120, Y: 35.441589, Z: -131.158447, Timestamp: 3987.319732
X: 60.693359, Y: 54.809570, Z: -129.589844, Timestamp: 3987.345598
X: 59.124756, Y: 61.309814, Z: -89.041138, Timestamp: 3987.371512
X: 35.044861, Y: 67.622375, Z: -81.111145, Timestamp: 3987.397384
X: -1.107788, Y: 74.235535, Z: -78.965759, Timestamp: 3987.423254
X: -17.968750, Y: 79.374695, Z: -72.361755, Timestamp: 3987.449169
X: -39.775085, Y: 97.882080, Z: -56.732178, Timestamp: 3987.475040
X: -64.939880, Y: 110.742188, Z: -73.419189, Timestamp: 3987.500955
X: -78.450012, Y: 102.180481, Z: -95.162964, Timestamp: 3987.526827
X: -71.623230, Y: 70.201111, Z: -126.797485, Timestamp: 3987.552699
X: -67.263794, Y: 46.875000, Z: -139.384460, Timestamp: 3987.578611
X: -57.756042, Y: 51.185608, Z: -106.504822, Timestamp: 3987.604481
X: -33.798218, Y: 27.391052, Z: -61.770630, Timestamp: 3987.630395
X: -35.128784, Y: 1.817322, Z: -35.295105, Timestamp: 3987.656264
X: -71.768188, Y: 22.187805, Z: -27.838135, Timestamp: 3987.682133
X: -95.806885, Y: 60.974121, Z: -16.362000, Timestamp: 3987.708043
X: -78.912354, Y: 28.997803, Z: 8.335876, Timestamp: 3987.733915
X: -51.481628, Y: 9.692383, Z: 21.800232, Timestamp: 3987.759827
X: -100.236511, Y: 7.032776, Z: 44.415283, Timestamp: 3987.785694
X: -119.895935, Y: 4.455566, Z: 29.606628, Timestamp: 3987.811562
X: -105.162048, Y: -27.096558, Z: 26.354980, Timestamp: 3987.837473
X: -95.361328, Y: -29.640198, Z: -14.025879, Timestamp: 3987.863339
X: -122.612000, Y: -6.999207, Z: -49.804688, Timestamp: 3987.889250
X: -101.631165, Y: -43.218994, Z: -0.213623, Timestamp: 3987.915119
X: -90.577698, Y: -37.930298, Z: -20.500183, Timestamp: 3987.940991
X: -103.192139, Y: -18.904114, Z: -45.593262, Timestamp: 3987.966905
X: -109.336853, Y: -35.911560, Z: -19.583130, Timestamp: 3987.992775
X: -92.695618, Y: -29.153442, Z: -10.658264, Timestamp: 3988.018688
X: -55.723572, Y: -29.553223, Z: 0.254822, Timestamp: 3988.044560
X: -61.508179, Y: -26.310730, Z: -56.469727, Timestamp: 3988.070428
X: -96.165466, Y: -39.564514, Z: -52.308655, Timestamp: 3988.096332
X: -111.697388, Y: -29.776001, Z: -60.060120, Timestamp: 3988.122210
X: -111.386108, Y: -13.549805, Z: -72.785950, Timestamp: 3988.148118
X: -95.108032, Y: -39.326477, Z: -63.018799, Timestamp: 3988.173991
X: -43.228149, Y: -48.831177, Z: -55.261230, Timestamp: 3988.199861
X: 40.379333, Y: -48.854065, Z: -16.673279, Timestamp: 3988.225777
X: 20.727539, Y: -66.337585, Z: -11.523438, Timestamp: 3988.251648
X: 36.216736, Y: -33.357239, Z: 74.020386, Timestamp: 3988.277561
X: 89.440918, Y: -1.899719, Z: 75.837708, Timestamp: 3988.303429
X: 122.605896, Y: 2.957153, Z: 58.082581, Timestamp: 3988.329298
X: 56.645203, Y: -2.331543, Z: 32.609558, Timestamp: 3988.355209
X: 68.463135, Y: 64.596558, Z: 93.330383, Timestamp: 3988.381081
X: 116.616821, Y: 64.608765, Z: 56.849670, Timestamp: 3988.406995
X: 97.218323, Y: 63.250732, Z: 7.307434, Timestamp: 3988.432863
X: 75.111389, Y: 45.988464, Z: 59.518433, Timestamp: 3988.458729
X: 79.835510, Y: 73.150635, Z: 23.585510, Timestamp: 3988.484641
X: 78.245544, Y: 68.218994, Z: 11.526489, Timestamp: 3988.510504
X: 46.287537, Y: 77.883911, Z: -8.729553, Timestamp: 3988.536413
X: 38.722229, Y: 73.406982, Z: -28.857422, Timestamp: 3988.562278
X: 50.302124, Y: 51.641846, Z: -42.663574, Timestamp: 3988.588147
X: 88.310242, Y: 79.248047, Z: -36.445618, Timestamp: 3988.614056
X: 103.044128, Y: 93.782043, Z: -51.783752, Timestamp: 3988.639921
X: 55.668640, Y: 75.749207, Z: -84.280396, Timestamp: 3988.665832
X: 48.335266, Y: 57.881165, Z: -101.481628, Timestamp: 3988.691697
X: 68.629456, Y: 43.695068, Z: -97.714233, Timestamp: 3988.717565
X: 33.680725, Y: 16.552734, Z: -120.216370, Timestamp: 3988.743473
X: 12.591553, Y: 5.455017, Z: -128.701782, Timestamp: 3988.769339
X: 11.524963, Y: -9.185791, Z: -120.939636, Timestamp: 3988.795250
X: 10.830688, Y: -8.572388, Z: -96.855164, Timestamp: 3988.821116
